subject_id,acquisition,brainmask_voxels,brainmask_volume,facemask_voxels,facemask_volume,brainmask_overlap_facemask_voxels,brainmask_overlap_facemask_volume,pc_overlap_bw_facemask_and_brainmask,leftover_dil_eyemask_voxels,leftover_dil_eyemask_volume,leftover_eyemask_voxels,leftover_eyemask_volume
sub-ON30080,mprage,1460719.0,1460719.0,1843094.0,1843094.0,0.0,0.0,0.0,169236.0,169236.0,65140.0,65140.0
sub-ON30535,fspgr,1088584.0,1453118.75,1590846.0,2123568.0,0.0,0.0,0.0,75233.0,100426.060764,20812.0,27781.255255
sub-ON31551,fspgr,1324972.0,1768666.25,1467196.0,1958524.125,0.0,0.0,0.0,141554.0,188956.986783,51334.0,68524.506263
sub-ON33159,mprage,1503765.0,1503765.0,2327378.0,2327378.0,0.0,0.0,0.0,105269.0,105269.0,32560.0,32560.0
sub-ON33827,fspgr,1130076.0,1508505.25,1670485.0,2229889.75,0.0,0.0,0.0,107050.0,142898.437593,35221.0,47015.655026
sub-ON34754,mprage,1488057.0,1488057.0,2153175.0,2153175.0,0.0,0.0,0.0,81609.0,81609.0,23502.0,23502.0
sub-ON34766,mprage,1525836.0,1525836.0,2022249.0,2022249.0,0.0,0.0,0.0,138410.0,138410.0,49239.0,49239.0
sub-ON35773,mprage,1782151.0,1782151.0,2410725.0,2410725.0,0.0,0.0,0.0,179565.0,179565.0,71013.0,71013.0
sub-ON35920,fspgr,885337.0,1181810.375,1506746.0,2011305.875,0.0,0.0,0.0,60342.0,80548.553941,15448.0,20621.027829
sub-ON37194,fspgr,1123863.0,1500211.625,1924143.0,2568491.75,0.0,0.0,0.0,161760.0,215929.484027,64705.0,86373.128487
sub-ON38044,fspgr,1107912.0,1478919.25,1675114.0,2236054.75,0.0,0.0,0.0,110213.0,147119.713888,36904.0,49261.937533
sub-ON39099,mprage,1495095.0,1495095.0,1936619.0,1936619.0,0.0,0.0,0.0,143469.0,143469.0,51846.0,51846.0
sub-ON39384,mprage,1480335.0,1480335.0,2183360.0,2183360.0,0.0,0.0,0.0,170040.0,170040.0,68282.0,68282.0
sub-ON40397,fspgr,1052496.0,1404946.0,1576516.0,2104452.75,0.0,0.0,0.0,108824.0,145266.506984,37139.0,49575.946509
sub-ON40757,fspgr,1050449.0,1402213.5,1512162.0,2018535.375,0.0,0.0,0.0,104237.0,139142.547763,34855.0,46526.79473
sub-ON41090,mprage,1229193.0,1229193.0,1809424.0,1809424.0,0.0,0.0,0.0,119248.0,119248.0,42394.0,42394.0
sub-ON41606,fspgr,1114437.0,1487629.25,1862964.0,2486825.25,0.0,0.0,0.0,118768.0,158540.510379,41923.0,55961.991586
sub-ON42107,mprage,1442602.0,1442602.0,2084933.0,2084933.0,0.0,0.0,0.0,102726.0,102726.0,33054.0,33054.0
sub-ON42941,mprage,1402832.0,1402832.0,2297138.0,2297138.0,0.0,0.0,0.0,122825.0,122825.0,42740.0,42740.0
sub-ON43001,fspgr,1122821.0,1498820.75,1549154.0,2067927.875,0.0,0.0,0.0,91813.0,122558.93742,28043.0,37433.917659
sub-ON43016,mprage,1423119.0,1423119.0,1822550.0,1822550.0,0.0,0.0,0.0,123509.0,123509.0,40655.0,40655.0
sub-ON43585,mprage,1471404.0,1471404.0,1999684.0,1999684.0,0.0,0.0,0.0,142016.0,142016.0,51522.0,51522.0
sub-ON44262,mprage,1343496.0,1343496.0,1975031.0,1975031.0,0.0,0.0,0.0,89240.0,89240.0,23347.0,23347.0
sub-ON46717,mprage,1228342.0,1228342.0,1823994.0,1823994.0,0.0,0.0,0.0,75279.0,75279.0,21285.0,21285.0
sub-ON47254,mprage,1572510.0,1572510.0,2005066.0,2005066.0,0.0,0.0,0.0,138445.0,138445.0,51519.0,51519.0
sub-ON48190,fspgr,1134496.0,1514405.375,1876294.0,2504603.25,0.0,0.0,0.0,127581.0,170303.686657,44318.0,59158.642629
sub-ON48555,fspgr,1036534.0,1383638.75,1588668.0,2120660.75,0.0,0.0,0.0,100859.0,134633.366509,32724.0,43682.19282
sub-ON48925,mprage,1519242.0,1519242.0,1966555.0,1966555.0,0.0,0.0,0.0,187322.0,187322.0,76751.0,76751.0
